title,summary,description
Net Zero Carbon Events,Bringing together the event industry stakeholders to reduce the industry's greenhouse gase emissions to net zero by 2050,
Net Zero Investment Consultants Initiative (NZICI),Support investment consultants' clients to achieve their commitment to the goal of global net-zero greenhouse emissions by 2050.,"Launched in September 2021, NZICI is an industry-led alliance that brings together investment consultants seeking to align their operations and advisory services with the 1.5°C emissions trajectory in the Paris Agreement."
No New Coal Energy Compact,"Unite and drive the voluntary commitment of countries, and demonstrate their leadership, in participating in the global clean energy transition.","Launched in 2021 by Sri Lanka, Chile, Montenegro, Denmark, UK, France and Germany, the No New Coal Energy Compact Initiative represents an opportunity for all countries to unite around global net-zero goals as well as highlights their individual leadership in the just energy transition by growing energy demand alongside advancing development of sustainable energy. Energy Compacts are voluntary commitments made by a range of stakeholders on SDG7 targets in support of achieving all SDGs by 2030 as well as net-zero emissions by 2050."
Ocean Risk and Resilience Action Alliance (ORRAA),"Drive USD$500 million of investment into coastal and Ocean natural capital by 2030, positively impacting the resilience of at least 250 million climate vulnerable people in coastal areas around the world.","The Ocean Risk and Resilience Action Alliance (ORRAA) is the international convenor which connects the international finance and insurance sectors, governments, nonprofits, and stakeholders from the Global South. ORRAA’s mission is to catalyse the investment of at least USD$500 million into coastal and marine natural capital through the development and deployment of finance products that build the resilience of 250 million climate vulnerable coastal people, by 2030. "
One Planet Business for Biodiversity (OP2B),Drive transformational system change and catalyze action to protect and restore cultivated and natural biodiversity within agricultural value chains.,"One Planet Business for Biodiversity (OP2B) is an international, cross-sectoral and action-oriented business coalition on biodiversity with a specific focus on regenerative agriculture. OP2B is determined to drive transformational system change and catalyze action to protect and restore cultivated and natural biodiversity within agricultural value chains."
Paris Aligned Asset Owners (PAAO),"Transition member's investments to achieve net-zero portfolio GHG emissions by 2050, or sooner.","Paris Aligned Asset Owners are a global group of asset owners committed to transitioning their investments to achieve net zero portfolio GHG emissions by 2050, or sooner, drawing on the Net Zero Investment Framework to deliver these commitments."
Planet Mark Net Zero Certification,Empowering organisations to solve the climate crisis,
Pledge to Net Zero,Working to commit organisations from the environmental sector to take a leadership role in the transition to a Net Zero carbon economy.,
Powering Past Coal Alliance (PPCA),Working to advance the transition away from unabated coal power generation,"Powering Past Coal is a global alliance of national and sub-national governments, businesses and organisations working to advance the transition away from unabated* coal power generation. Unabated coal power generation refers to the use of coal without any technologies to substantially reduce its CO2 emissions, such as carbon capture and storage."
Public Transport Declaration on Climate Leadership (UITP),Double the share of public transport by 2025,The Declaration’s goal is to double the market share of public transport by 2025 and implement over 350 pledges to climate action from more than 110 members of the international public transport community in more than 80 global cities
R4 Rural Resilience Initiative,Ensure 1.4 million households (7.5 million beneficiaries) have access to insurance and integrated risk management tools in 25 countries by 2025,"The R4 Rural Resilience Initiative helps vulnerable communities build their resilience in the face of increasing climate variability and shocks through an integrated set of risk management tools. The initiative provides access to subsidized microinsurance products for climate-vulnerable households that engage in risk reduction activities, such as sustainable agriculture practices, community-led disaster risk reduction and landscape restoration. To ensure the sustainability of the approach, the initiative enhances participant’s saving capacity, access to loans and to formal financial institutions, while gradually enabling farmers to pay for a portion of the insurance premium."
Race to Zero,"Rallying Non State Actors (companies - including SMEs, cities, regions, finance, educational and healthcare institutions) to take rigorous and immediate action to collectively halve emissions by 2030 and reach Net Zero by 2050 as the latest.","Race to Zero is a global campaign rallying non-state actors to take immediate action to halve global emissions by 2030 and deliver a healthier, fairer zero carbon world. Members joining the campaign are working to the same overarching goal: reducing emissions across all scopes swiftly and fairly in line with the Paris Agreement, with transparent action plans and robust near-term targets."
Race to Zero for Universities and Colleges,Support universities and colleges across the world to commit to net-zero.,Race to Zero for Universities and Colleges is a global campaign to rally leadership and action in the education sector.
Railway Climate Declaration,The International Union of Railways is a worldwide railway association acting as the voice of rail and convening the global railway community. The Railway Climate Declaration calls on UIC members to declare their commitment to carbon neutrality before 2050 and UN-SDGs,"The worldwide community of railway operators and infrastructure managers were invited to commit to take a leading role in the actions to mitigate climate change by reducing their company’s carbon footprint and supporting a shift towards a more sustainable balance of transport modes. To achieve this, the community was offered to commit to: (1) Reduce my company’s specific energy consumption and CO 2 emission, and through this contribute to the UIC “Low Carbon Rail Transport Challenge” presented in 2014 at the United Nations Climate Summit, and to the Rail Climate Responsibility Pledge signed in 2015; (2) Carbon Neutrality by 2050; (3) Contribute to United Nations Sustainable Development Goals (SDGs). The CEOs of 35 members of the UIC have signed the commitment to Carbon Neutrality by 2050."
RegionsAdapt,"Support regional governments to assess climate change impacts, plan ambitious adaptation strategies, take concrete actions, and report on climate adaptation.","RegionsAdapt is the flagship climate initiative of Regions4 Sustainable Development, dedicated to advancing climate change adaptation endeavors at the subnational level, including States, Provinces, and Regions."
Renewables in Latin America and The Caribbean (RELAC),Achieve a regional target of at least 70% participation of renewable energy (RE) sources in the power matrix of Latin America and the Caribbean (LAC) by 2030.,"The Renewables in Latin America and The Caribbean (RELAC) aims to track and achieve a regional target in Latin America and The Caribbean (LAC) in terms of sustainable energy. RELAC was born at the end of 2019 with the objective to achieve at least 70% participation of renewables in the region's electricity matrix by 2030 to accelerate the carbon-neutrality of electricity systems in the LAC region, improving the resilience, competitiveness and sustainability of the sector, generating green jobs, improving air quality and the health effects on its citizens."
Risk-informed Early Action Partnership (REAP),"Make 1 billion people safer from disasters by 2025, by bringing together an unprecedented range of stakeholders across the climate, humanitarian and development communities to drive progress against our internationally-recognised 4 Targets.","The Risk-informed Early Action Partnership (REAP) brings together an unprecedented range of stakeholders across the climate, humanitarian, and development communities with the aim of making 1 billion people safer from disasters by 2025. It does so through mobilising commitments and inspiring action towards achieving its 4 Targets, based on its three Drivers of Change: (1) Ensuring global commitment on policy and practice; (2) Enabling country- and local-level leadership; and (3) Facilitating a marketplace for matching needs against offers of support."
Science Based Targets initiative (SBTi),"Enable companies worldwide to do what climate science requires of the global economy: to halve emissions by 2030, and achieve net-zero before 2050.","The Science Based Targets initiative (SBTi) drives ambitious corporate climate action by enabling businesses and financial institutions globally to set science-based greenhouse gas (GHG) emissions reduction targets. The SBTi’s goal is to enable companies worldwide to do what climate science requires of the global economy: to halve emissions by 2030, and achieve net-zero before 2050. "
SIDS Lighthouses Initiative,Deploy renewables to enable energy system transformation in SIDS with a target of 10GW of total installed renewable energy capacity by the year 2030 for all SIDS.,"The Small Island Developing States Lighthouses Initiative (SIDS LHI) is a framework for action to support Small Island Developing States in their energy transition efforts from fossil fuel dependence to renewables. The SIDS LHI provides a platform to share information, knowledge, lessons learned and best practices."
Sports for Climate Action,Drive sports organizations to Net Zero emissions no later than 2040.,"The Sports for Climate Action Initiative aims to provide sports organizations with a forum where organizations can pursue climate action in is a consistent and mutually supportive fashion by learning from each other, disseminating good practices, lessons learned, developing new tools, and collaborating on areas of mutual interest."
SUNx Malta Climate Friendly Travel Registry,"Provide a unique service to support Climate Resilience and Carbon Reduction with an initial focus on the 80% of Travel & Tourism companies who are SME's and a geographical emphasis on the world's Least Developed Countries (LDC) and Small Island Developing States (SIDS), who are particularly exposed to Climate risk.","SUNx Malta, a legacy to Maurice Strong - Sustainability and Climate Resilience pioneer, is a not for profit, EU based, organization, partnered with the government of Malta that has created a unique, low cost, system for companies and communities to help them transform to the New Climate Economy. "
Tech Zero,"Making it as easy as possible for tech companies to understand, commit to, and reach net zero.",
The Initiative on Climate Action and Nutrition,"Catalyze, mobilize, connect and advocate for integrated climate and nutrition action.","I-CAN is a multistakeholder, multisectoral global flagship initiative that aims to catalyze, mobilize, connect and advocate to address the critical nexus of climate change and nutrition."
Transformative Urban Mobility Initiative (TUMI),Mobilize technical and financial support for decision-makers to support the transformation towards sustainable urban transport,"All around the world urban leaders, transport experts, planners or students strive to transform mobility for the better for all - we unite them. We roll out innovations on the ground, enable leaders with profound know-how and invest in the future of urban mobility. We are the leading global implementation initiative on urban mobility and we believe in a better future for humanity empowered by strong and clean mobility. We envision thriving cities with enhanced economic, social and environmental performances in line with the New Urban Agenda, the Agenda 2030 and the Paris Agreement."
UN-Convened Net-Zero Asset Owner Alliance,"Drive the transition of investment portfolios towards net-zero GHG emissions by 2050 consistent with a maximum temperature rise of 1.5°C, addressing Article 2.1c of the Paris Agreement.","The members of this Alliance commit to transitioning their investment portfolios to net-zero GHG emissions by 2050 consistent with a maximum temperature rise of 1.5°C above pre-industrial temperatures, taking into account the best available scientific knowledge including the findings of the IPCC, and regularly reporting on progress, including establishing intermediate targets every five years in line with Paris Agreement."
Under2 Coalition,To empower and represent states and regions committed to reaching net zero emissions by 2050 or earlier.,The largest global network of state and regional governments committed to reducing emissions in line with the Paris Agreement. The Under2 Coalition brings together over 270 governments representing 1.75 billion people and 50% of the global economy. Our members commit to keep global temperature rise well below 2°C with efforts to reach 1.5°C. Over 60 states and regions have committed to reach net zero emissions by 2050 or earlier. This is essential to limit global temperature rise.
United for Efficiency (U4E),Increase and accelerate significantly the climate and development benefits of the Paris Agreement by increasing the global deployment of energy-efficient and climate friendly solutions for appliances and equipment with a focus on emerging and developing economies.,"The United for Efficiency (U4E) initiative is a UNEP-led, public-private partnership, supporting developing countries and emerging economies with moving their markets to energy-efficient lighting, appliances and equipment. U4E has national projects in over 30 countries and regional initiatives in Southern Africa, East Africa, Caribbean, Southeast Asia. "
WWF's Climate Business Network,Fostering the transition of the business sector to a 1.5°C world by supporting a network of ambitious and influential companies.,The Climate Business Network (CBN) is a voluntary corporate network that aims to boost the ability of member companies to take action and achieve their targets.
Zero Carbon Buildings for All / Zero Carbon Buildings Accelerator,"Decarbonize the world’s building stock by 2050 through development of national roadmaps, aligned city action plans and access to finance for implementation.","Zero Carbon Buildings for All is a coalition of national and local actors that are aligned on enabling policies, roadmaps, and NDC commitments that will decarbonize the global building stock by 2050, in both high- income and low-income countries. The initiative includes strong representation from the private sector and financial institutions, which will dramatically enhance national climate ambition and action on buildings-related emissions. To support this effort, the Zero Carbon Building Accelerator (ZCBA) was launched in 2021 by WRI with the support of GEF and UNEP and has been working national governments in Turkey and Colombia to develop National Zero Carbon Building Roadmaps and aligned City Action Plans in two cities in each country. Though national roadmaps can provide an integrated approach to scaling zero carbon buildings and speeding up market transformation in the buildings and construction sectors, cities are where implementation and action happen and where impacts are made. In 2022 the ZCBA expanded its initiative support 6 new subnational governments in India, Kenya, and Costa Rica to develop local action plans for zero carbon building that support existing national climate and decarbonization goals. All roadmaps and action plans developed in the ZCBA identify short-, medium-, and long-term goals and actions needed for transforming the sector across the building lifecycle."
Business Ambition for 1.5°C,"Issued an urgent call to action from a global coalition of UN agencies, business and industry leaders, in partnership with the Race to Zero.","The Business Ambition for 1.5°C campaign is now closed. The campaign enabled companies to set robust science-based targets, and reduce emissions at the pace and scale required by climate-science. Endorsed by an unprecedented global coalition of UN agencies, business groups and industry leaders, the campaign provided a clear pathway for businesses to become credible climate leaders."
Climate Ambition Alliance,To enhance collaboration in the achievement of net zero CO2 emissions by 2050,"The Climate Ambition Alliance brings together countries, businesses, investors, cities and regions who are working towards achieving net-zero CO2 emissions by 2050. Country engagement in this Alliance is led by the governments of Chile and the United Kingdom, with support from UN Climate Change and UNDP; while mobilization of a non-government actors is led by the High-Level Climate Champions for Climate Action – Nigel Topping and Gonzalo Muñoz – under the ‘Race to Zero’ campaign."
Climate Ambition Alliance: Net Zero 2050,To enhance collaboration in the achievement of net zero CO2 emissions by 2050,"The Climate Ambition Alliance (National Pledges) commits nations to be more ambitious in their new or updated Nationally Determined Contributions (NDCs), and to communicate long-term low emission development strategies (LT-LEDS) towards net-zero, as established in the Paris Agreement. It also includes firm actions on adaptation and an active participation of the private sector. All efforts aim to accelerate the necessary transformation to reach the goals of the Paris Agreement and stabilize the global temperature rise to 1.5°C."
Improve Water Security - Business Alliance for Water and Climate,Measure and minimize risks and impacts related to water and climate change,
Put a Price on Carbon - Business Leadership Criteria on Carbon Pricing,"Set an internal carbon price, publicly advocate and communicate on progress",
Reduce Short-Lived Climate Pollutant Emissions,Take action to reduce short-lived climate pollutants,
Remove Commodity-driven Deforestation,Remove commodity-driven deforestation from all supply chains by 2020,
Responsible Corporate Engagement in Climate Policy,Responsible corporate engagement in climate policy,
Value Chain Risk to Resilience,Build climate resilience in value chains by integrating climate risks into business processes and developing standard approaches for business action on resilience.,"To build climate resilience for communities, farmers, and workers along value chains, Value Chain Risk to Resilience developed standard approaches and methodologies to support companies through the steps of building climate resilience. These include setting a climate risk management strategy; building governance; identifying, analyzing, and prioritizing climate risk; establishing response plans; and monitoring performance."
2050 Pathways Platform,"Build climate resilience for communities, farmers and workers along value chains",
Adaptation for Small holder Agriculture Programme (ASAP),Increase the climate resilience and food security of 8 million poor smallholder household members across the world by 2020,
Adaptation of West African Coastal Areas (WACA),Reduce coastal erosion hotspots by 30% by 2020 and by 70% by 2025 and protect 30% of the population in priority flooding areas by 2020 and 70% by 2025 in West African coastal regions,
Africa Renewable Energy Initiative (AREI),Scale up the Africa’s renewable energy potential to achieve at least 10 GW of new and additional renewable energy generation capacity by 2020 and at least 300 GW by 2030,
Below50,Grow the market for the world's most sustainable fuels,
Blue Growth Initiative,Reduce CO2 emissions by 10% in 5 years and 25% in 10 years and reduce overfishing by 20% in 5 years and 50% in 10 years in 10 developing countries,
Breakthrough Energy Coalition,"Accelerate the development of transformative clean energy solutions by linking public research with truly patient, flexible private investments",
Building Climate Resilience for the Urban Poor,Invest USD 15.2B by 2023 and USD 60.8B by 2030 to build resilience to the impacts of climate change for 600M urban poor people in 140 cities,This initiative aims to help 150 million urban poor adapt to climate change in informal settlements by 2023 and to build climate resilience of 600 millions vulnerable people by 2030.
C40 Clean Bus Declaration/Low emission vehicles,Reduce emissions from the transportation sector and improve air quality through the introduction of low and ultimately zero emission buses in fleets,
C40 Zero Waste Declaration,"Reduce municipal solid waste generation, disposal to landfill and incineration",
CCAC: Global Green Freight Action Plan,"Reduce emissions of greenhouse gases, black carbon, and air pollutants in the freight sector by 2025",
CCAC: Oil & Gas Methane Partnership (OGMP),Reduce methane emissions in their operations by systematically surveying for nine key emission sources and publicly report the share of their operations being controlled for those sources,
CCAC: Phasing Down Climate Potent HFCs / HFCs Initiative,"Reduce the use and emissions of high-GWP HFCs and enhance energy efficiency in the food cold chain, as well as achieve a 30-50 percent reduction in HFC emissions from refrigerant servicing within 10 years",
"CCAC: Waste, Mitigating SLCPs from the Municipal Solid Waste Sector",Reduce short-lived climate pollutants (SLCPs) from the municipal solid waste sector by 2020,
CEM: Global Lighting Challenge,Deploy 10 Billion high-efficiency light bulbs as fast as possible,
Cities and Regions' 5-year vision,Accelerate action to respond to climate change by 2020 and ensure sustainable future living environments for their people,
Climate Risk and Early Warning Systems Initiative (CREWS),Mobilize USD 100 million by 2020 to significantly increase the capacity for Multi-Hazard Early Warning Systems in SIDS and LDCs,
Climate-Smart Agriculture Booster (CSA Booster),"Pioneer the transition to climate-smart agriculture across Europe, and around the world",
Coalition of Finance Ministers for Climate Action,Action by finance ministers to assess the environmental impacts of their governments’ public portfolios,The President of Finland announced that Finland and Chile helped to create a coalition of finance ministers (40 members at the time of the Summit) to agree to a set of principles to systematically study the environmental impacts of their portfolios.
Collaborative Climate Action Across the Air Transport World,Improve air transport fuel efficiency and stabilize the sector's net CO2 emissions from 2020,
Compact of Mayors,"Reduce greenhouse gas emissions, report publicly and annually on progress and prepare for the impacts of climate change",
Conference of Peripheral Maritime Regions,"Reduce emissions, develop sustainable energy solutions and drive efffective adaptation in Maritime regions",
Covenant of Mayors for Climate & Energy,Reduce greenhouse gas emissions by at least 20% by 2020 through the implementation of a Sustainable Energy Action Plan adopted in Council and report on progress every two years,
Debt Swap,Address the debt burden of Small Island Developing States (SIDS) while facilitating climate-change resilient economic development,"The proposal aims at addressing the debt burden that SIDS face while at the same time facilitate investment in adaptation to the impacts of climate change and promote climate resilient economic growth. It is based on work with the Economic Commission for Latin America and the Caribbean, includes an initial pilot involving Antigua & Barbuda, Saint Lucia and Saint Vincent & the Grenadines."
District Energy Accelerator,"Acclereate the transition to low-carbon, climate resilient district energy systems",
DivestInvest,Ensure a minimum of 5% of invesment portfolios are made up of renewables and clean technology through divesting and moving assets into clean energy investments,
Energy Storage Initiative,Create a breakthrough in the battery/energy storage field and provide access to 6.5 million people mainly through solar hybrid mini grids with storage,"Donor countries together with the World Bank Group/ESMAP in collaboration with the Climate Investment Funds (CIFs), including African Development Bank, Asian Development Bank, European Bank for Reconstruction and Development, Inter-American Development Bank launched Energy Storage Initiative with an initial $500 million in funding."
EP100,Commit to smart energy use,
Food Security climate Resilience Facility (FoodSECuRE),"Financially and programmatically support community-centred action to build climate resilience, addressing increasing loss and damage and improving resilience building in post-disaster recovery",
Global Alliance for Clean Cookstoves,Have 100 million households to adopt clean and efficient cookstoves and fuels by 2020,
Global Campaign for Nature,Commit to conserving 30% of the Earth’s lands and oceans by 2030 and contribute to the Paris Agreement's goals through nature-based solutions,"Group of countries committed to conserve 30% of terrestrial and marine areas by 2030 (30x30 target) and enhance the Paris Agreement's goals through nature based solutions by: (1) Creating and expanding terrestrial and marine protected areas; (2) Restoring degraded ecosystems; (3) Increasing funding for NBS, for protection and sustainable management of high ecological value ecosystems; (4) Enhance NDC by including NBS."
Global Initiative on Food Loss and Waste Reduction – SAVE FOOD,Fight global food waste and loss by driving innovations and generating solutions across the entire value chain,
Global Lead City Network on Sustainable Procurement (GLCN),Enable sustainable procurement practices in cities,
Great Green Wall for Sahara and the Sahel Initiative (GGWSSI),"Restore 50 million hectares of land, sequester 250 million tons of carbon and support 300 million people across the Sahel by 2030",
Implement the Recommendations of the Task Force on Climate-Related Financial Disclosures,Implement the TCFD recommendations for reporting climate-related financial information,
International Solar Alliance (ISA),Mobilize more than USD 1 trillion of investments by 2030 for the massive deployment of affordable solar energy,
Kwon-Gesh Climate Pledge,Commit to involving our youth in our implementation of the Paris Agreement and the achievement of its goals,"43 Governments committed to the KWON-GESH CLIMATE PLEDGE by involving youth in the implementation of the Paris Agreement and the achievement of its goals including; (1) When putting in place climate adaptation or mitigation measures; (2) Communicating or updating nationally determined contributions; (3) Submitting or updating national adaptation communications, or; (4) Plans and communicating long-term greenhouse gas emission development strategies."
LCTPi,Deploy business solutions to accelerate the low-carbon transition,
LCTPi Cement Sustainability Initiative,Reduce CO2 emissions from cement production and report annually on progress including independent third party assurance,
LCTPi Renewables - REscale,Support the deployment of 1.5 TW of additional renewable energy globally before 2025,
Life Beef Carbon Initiative,"Reduce beef carbon footprint by 15% by 2025 in France, Ireland, Italy and Spain",
Montreal Carbon Pledge,Measure and publicly disclose the carbon footprint of their investment portfolios on an annual basis,
Net Zero Carbon Buildings Commitment,"Challenge companies, cities, states and regions to reach Net Zero operating emissions in their portfolios by 2030, and advocate for all buildings to be Net Zero in operation by 2050",
Net-Zero 2050,Accelerate the transition to net-zero greenhouse gas emissions by 2050,
Oil and Gas Climate Initiative (OGCI),Reduce the collective average methane intensity of our aggregated upstream gas and oil operations to below 0.25% by 2025,
Paris Declaration on Electromobility on Climate Change,Increase electro-mobility to levels compatible with a less than 2 degree pathway,
Planners for Climate Action,"Catalyze and accelerate climate action through responsible and transformative urban and regional planning practice, education and research.",
Portfolio Decarbonization Coalition,Commit to concrete and quantifiable carbon-footprinting as well as portfolio decarbonization targets,
Promotion of Smart Agriculture Towards Climate Change,Adopt agroecology practices by 25 million households in West Africa by 2025,
Protection of 400 million Hectares of Forests,"Protect and sustainably manage 400 million hectares of forests in the Amazon, Central America, the Congo Basin and Indonesia",
RE100,Procure 100% of electricity from renewable sources,
"Refrigerants, Naturally!",Promote a shift in cooling technology towards natural refrigerants and improve common fluorocarbon based technology,
Resilience and Adaptation Call for Action,"Call for Action, which sets out commitments on responding to immediate climate impacts and to support the most vulnerable members of society and building resilient futures by putting climate risk at the center of decision making","Governments and institutons who have endorsed the plan commit to enhance adaptation and resilience action, particularly by: (1) Acting now to respond to immediate climate impacts and to support the most vulnerable members of society; (2) Building resilient futures by putting climate risk at the centre of decision making including by urgently increasing the availability of adaptation and resilience finance."
SIDS 2020 Ambition Leadership,Action by Small Island Developing States (SIDS) to increase ambition in their Nationally Determined Contributions (NDC) by 2020,"This initiative is about SIDS leading by example and playing our part in global efforts to urgently deliver more ambitious climate action, always cognizant that this ambitious action needs the support of committed partners."
Smart Risk Investing,Increase the amount invested in smarter risk and resilience projects by the global insurance industry ten-fold to USD 420 billion by 2020,
Statement by Financial Institutions on Energy Efficiency Finance,Scale up energy efficiency financing and work with insitutional and public financiers to deploy climate finance to clients,
States and Regions Annual Disclosure,Commit to a public target to reduce region-wide greenhouse gas emissions and to report annually on progress,
Step Up Declaration: Powering Mission 2020,Reduce greenhouse gas emissions across all economic sectors and ensure a climate turning point by 2020,
Support for Smallholder Farmers,"Enhance resilience to climate shocks and extreme events for 300 million small-scale farmers, increase household incomes and food security, and reverse ecological decline","The initiative will support 300 million small-scale farmers enhance their resilience to climate shocks and extreme events, increase household incomes and food security, and reverse ecological decline. More resilient land use will be supported and actions to drive policy reforms will be taken."
Task Force for Clean Energy Transition on accelerating energy transition from coal to clean,Reaching the aim of 'no new coal plants after 2020',The initiative will work with countries around the world to accelerate plans for new clean energy projects. It aims to bring together public and private sector leaders to share technical expertise and help make the economic case for clean energy.
Taxi4SmartCities,Accelerate the energy transition of their vehicle fleet by 2020 and 2030,
The 1-in-100 Initiative,Adopt standards for risk evaluation to subject financial portfolios and assets to a 1-100 year stress test by 2020,
The New York Declaration on Forests,"Halve the loss of natural forests globally by 2020, and end forest loss by 2030",
Transformative Actions Program (TAP),Accelerate local and regional initiatives toward sustainable infrastructure,
Urban Electric Mobility Initiative (UEMI),Increase sale of electric vehicles by 30% by 2030 to achieve a 30% reduction of CO2 emissions in urban areas by 2050,
Urban-LEDS project,"Empower cities through low-emission development strategies to becoming green, resilient, and inclusive",
Zero Deforestation Commitments from Commodity Producers and Traders,Eliminate deforestation from the production of agricultural commodities by 2020,
